osm_type,osm_id,building,name,levels,source_tags,geom_wkt
"way","1368602395","house","","","{""building"":""house""}","POLYGON((-63.1835012 46.2442598,-63.1835868 46.2440873,-63.1833533 46.2440318,-63.1833121 46.2441149,-63.1833369 46.2441208,-63.1833175 46.2441599,-63.1834125 46.2441825,-63.1833875 46.2442328,-63.1835012 46.2442598))"
"way","1368602396","house","","","{""building"":""house""}","POLYGON((-63.1840461 46.2442330,-63.1839934 46.2441237,-63.1839373 46.2441366,-63.1839247 46.2441103,-63.1837998 46.2441391,-63.1838559 46.2442556,-63.1839395 46.2442364,-63.1839487 46.2442555,-63.1840461 46.2442330))"
"way","1368602397","house","","","{""building"":""house""}","POLYGON((-63.1844095 46.2440330,-63.1843789 46.2438645,-63.1842108 46.2438791,-63.1842413 46.2440476,-63.1844095 46.2440330))"
"way","1368602398","house","","","{""building"":""house""}","POLYGON((-63.1843459 46.2437174,-63.1844416 46.2436032,-63.1843349 46.2435604,-63.1842975 46.2436051,-63.1842567 46.2435887,-63.1841700 46.2436923,-63.1842773 46.2437352,-63.1843057 46.2437013,-63.1843459 46.2437174))"
"way","1368602399","house","","","{""building"":""house""}","POLYGON((-63.1847831 46.2435424,-63.1847582 46.2434539,-63.1846919 46.2434629,-63.1846787 46.2434162,-63.1844914 46.2434414,-63.1845244 46.2435585,-63.1846631 46.2435398,-63.1846682 46.2435578,-63.1847831 46.2435424))"
"way","1368602400","house","","","{""building"":""house""}","POLYGON((-63.1850940 46.2436103,-63.1851958 46.2435044,-63.1850477 46.2434363,-63.1849296 46.2435592,-63.1850250 46.2436031,-63.1850413 46.2435861,-63.1850940 46.2436103))"
"way","1368602401","house","","","{""building"":""house""}","POLYGON((-63.1854253 46.2437910,-63.1853575 46.2436631,-63.1851565 46.2437140,-63.1851852 46.2437682,-63.1851511 46.2437768,-63.1851901 46.2438505,-63.1854253 46.2437910))"
"way","1368602402","house","","","{""building"":""house""}","POLYGON((-63.1854996 46.2439851,-63.1854319 46.2438522,-63.1852125 46.2439056,-63.1852481 46.2439755,-63.1852844 46.2439666,-63.1853165 46.2440297,-63.1854996 46.2439851))"
"way","1368602388","house","","","{""building"":""house""}","POLYGON((-63.1831132 46.2447946,-63.1831624 46.2446815,-63.1830473 46.2446575,-63.1830412 46.2446717,-63.1830118 46.2446655,-63.1830238 46.2446380,-63.1829043 46.2446131,-63.1828533 46.2447300,-63.1829868 46.2447578,-63.1829737 46.2447879,-63.1830727 46.2448085,-63.1830816 46.2447880,-63.1831132 46.2447946))"
"way","1368602389","house","","","{""building"":""house""}","POLYGON((-63.1827338 46.2447204,-63.1827975 46.2445976,-63.1826756 46.2445673,-63.1827020 46.2445165,-63.1825969 46.2444904,-63.1824859 46.2447042,-63.1826146 46.2447362,-63.1826355 46.2446960,-63.1827338 46.2447204))"
