page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
138,138,Capital Budget,Pownal Street Parkade Upgrades,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2008"", ""2012""]",0,6,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
139,139,Capital Budget,Street Resurfacing,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],[],0,3,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
140,140,Capital Budget,Traffic Calming,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
141,141,Capital Budget,Sherwood Recreation Hall Upgrades,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2025-26""]",0,3,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
142,142,Capital Budget,North River Road & Capital Drive,table_or_profile,embedded_text,20,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
143,143,Capital Budget,New Sidewalk Construction,table_or_profile,embedded_text,10,True,capital_project_profile,profile field | narrative value,[],"[""2026/27""]",1,4,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
144,144,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,33,True,capital_budget_schedule,item | budget (2026/2027),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2026/2027""]",29,32,False,False,,medium,[]
145,,Capital Budget,Charlottetown Civic Centre,text_or_divider,embedded_text,7,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre""]","[""2026/2027""]",0,2,False,False,,medium,[]
146,146,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,12,True,capital_budget_schedule,item | budget (2026/2027),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2026/2027""]",8,11,False,False,continuation-027,medium,[]
147,147,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,19,True,capital_budget_schedule,item | budget (2026/2027),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2026/2027""]",15,20,False,True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
148,,Appendix - Taxes and Rates,————=*..,text_or_divider,ocr_fallback,2,False,,,[],[],0,1,False,False,,medium,[]
149,149,Appendix - Taxes and Rates,2026/2027 Operating Budget,table_or_profile,embedded_text,43,True,tax_assessment_rate,class | assessment | rate | revenue,"[""City of Charlottetown""]","[""2026/2027""]",32,101,False,False,,medium,[]
150,,Appendix - Debt,———*_,text_or_divider,ocr_fallback,3,False,,,[],[],0,1,False,False,,medium,[]
151,151,Appendix - Debt,2026/2027 Operating Budget,table_or_profile,embedded_text,23,True,debt_schedule,instrument | balance | principal | interest,"[""City of Charlottetown""]","[""2010"", ""2012"", ""2013"", ""2016"", ""2018"", ""2020"", ""2023"", ""2025"", ""2026"", ""2026/2027"", ""2030"", ""2031"", ""2032"", ""2033"", ""2036"", ""2038"", ""2039"", ""2041"", ""2045"", ""2047"", ""2054""]",17,80,True,False,,high,[]
152,,Appendix - Debt,————=*..,text_or_divider,ocr_fallback,4,False,,,"[""Charlottetown Water and Sewer""]",[],0,1,False,False,,medium,[]
153,153,Appendix - Debt,2026/2027 Operating Budget,table_or_profile,embedded_text,18,True,debt_schedule,instrument | balance | principal | interest,"[""City of Charlottetown""]","[""2010"", ""2012"", ""2013"", ""2018"", ""2020"", ""2023"", ""2025"", ""2026"", ""2026/2027"", ""2026/27"", ""2030"", ""2031"", ""2032"", ""2033"", ""2038"", ""2047"", ""2054""]",12,60,True,False,,high,[]
154,,Appendix - Debt,902-629-4004,text_or_divider,embedded_text,4,False,,,[],[],0,4,False,False,,medium,[]
